hour,flow_mean_avg,occupancy_avg,voc_activity_frac
2025-07-13 17:00:00,0.2078371914613306,0.0323073434908789,0.0005425163866629
2025-07-13 18:00:00,,,0.0004446895177786
2025-07-13 19:00:00,,,8.893790355573738e-05
2025-07-13 20:00:00,,,0.0002757075010227
2025-07-13 21:00:00,,,1.7787580711147478e-05
2025-07-13 22:00:00,,,0.0002935786345924
2025-07-13 23:00:00,,,2.668113377031101e-05
2025-07-14 00:00:00,,,8.893790355573739e-06
2025-07-14 01:00:00,,,6.225653248901617e-05
2025-07-14 02:00:00,,,0.0
2025-07-14 03:00:00,,,8.004411320016365e-05
2025-07-14 04:00:00,,,0.0012988630500151
2025-07-14 05:00:00,,,0.0186767936392177
2025-07-14 06:00:00,0.248245011163231,0.0408362722773499,0.017316209822302
2025-07-14 07:00:00,0.232305789879447,0.0368557597925554,0.0026236681548942
2025-07-14 08:00:00,0.2156919787963541,0.0313708148702363,0.006279015991035
2025-07-14 09:00:00,0.1911569015393334,0.0269292800256457,0.0219320870168448
2025-07-14 10:00:00,0.1791807997040969,0.0235692178901564,0.0182154392958778
2025-07-15 14:00:00,0.1946533622389113,0.0246217171365856,0.0142842839502052
