hour,flow_mean_avg__original,flow_mean_avg__slow_trend,flow_mean_avg__diurnal,flow_mean_avg__fast_residual,occupancy_avg__original,occupancy_avg__slow_trend,occupancy_avg__diurnal,occupancy_avg__fast_residual
2025-08-10 09:00:00,0.2815722166107108,0.3513304123190923,-0.011215359814567616,-0.05854283589381387,0.040170616150374,0.05188490538381195,-0.0025114515999457737,-0.009202837633492179
2025-08-10 10:00:00,0.2344524267362301,0.3513304123190923,-0.015655908346246125,-0.10122207723661607,0.0321550022607123,0.05188490538381195,-0.005193766966032606,-0.014536136157067042
2025-08-10 11:00:00,0.3448651224847264,0.3513304123190923,-0.021658051319174688,0.015192761484808793,0.0515334244524635,0.05188490538381195,-0.006393923602499459,0.006042442671151008
2025-08-10 12:00:00,0.2809532066794198,0.3513304123190923,-0.016719502878705713,-0.05365770276096676,0.0389224581305053,0.05188490538381195,-0.005530853905197335,-0.007431593348109313
2025-08-10 13:00:00,0.3017300463006373,0.3513304123190923,-0.02375654941752812,-0.025843816600926845,0.0426809946554442,0.05188490538381195,-0.005347064978707423,-0.003856845749660328
2025-08-10 14:00:00,0.3401812055668004,0.3513304123190923,-0.004227938303870607,-0.006921268448421255,0.0512279121645644,0.05188490538381195,-0.00162069623684832,0.0009637030176007678
2025-08-10 15:00:00,0.3364793001635245,0.3513304123190923,0.01721732556578147,-0.03206843772134925,0.0506544520574414,0.05188490538381195,0.0035515406225973766,-0.004781993948967925
2025-08-10 16:00:00,0.3687421893496185,0.3513304123190923,0.06096575042754667,-0.04355397339702046,0.0612692238186906,0.05188490538381195,0.014096161907152868,-0.004711843472274218
2025-08-10 17:00:00,0.439950618781942,0.3513304123190923,0.07018522329450992,0.018434983168339816,0.0794151706560283,0.05188490538381195,0.017460073923253838,0.010070191348962507
2025-08-10 18:00:00,,0.3513304123190923,0.08610175636588246,,,0.05188490538381195,0.021316204374252523,
2025-08-10 19:00:00,,0.3513304123190923,0.048221676885388025,,,0.05188490538381195,0.013416158182290966,
2025-08-10 20:00:00,,0.3513304123190923,,,,0.05188490538381195,,
2025-08-10 21:00:00,,0.3535231155020801,,,,0.0520239429415222,,
2025-08-10 22:00:00,,0.3535231155020801,,,,0.0520239429415222,,
2025-08-10 23:00:00,,0.3535231155020801,,,,0.0520239429415222,,
2025-08-11 00:00:00,,0.3513304123190923,,,,0.05192243014695175,,
2025-08-11 01:00:00,,0.3513304123190923,,,,0.05192243014695175,,
2025-08-11 02:00:00,,0.3516136007720992,,,,0.052061467704662,,
2025-08-11 03:00:00,,0.3535231155020801,,,,0.052153262043606555,,
2025-08-11 04:00:00,,0.355432630232061,,,,0.0522450563825511,,
2025-08-11 05:00:00,,0.3582485981936513,0.03720851630221141,,,0.052269269673993646,0.008877554275645811,
2025-08-11 06:00:00,,0.3582485981936513,0.06379907884973524,,,0.052269269673993646,0.013959169481704786,
2025-08-11 07:00:00,0.4407025072029232,0.3582485981936513,0.05158916805735151,0.0308647409519204,0.0719217385653809,0.052269269673993646,0.010998768331582648,0.0086537005598046
2025-08-11 08:00:00,0.3757157275555826,0.3582485981936513,0.03251428057738486,-0.015047151215453573,0.0580432049654516,0.052269269673993646,0.006621512178971146,-0.0008475768875131897
2025-08-11 09:00:00,0.299169364926894,0.3582485981936513,-0.011215359814567616,-0.047863873452189676,0.0422528903786403,0.052269269673993646,-0.0025114515999457737,-0.007504927695407572
