hour,flow_mean_avg,flow_mean_std,flow_mean_min,flow_mean_max,flow_var_avg,occupancy_avg,occupancy_std,occupancy_p50,occupancy_p90,n_frames_lit,dark_fraction,file_count,frac_idle,frac_active,frac_drinking,frac_feeding,frac_preening,frac_perching,frac_wing_flapping
2025-08-05 07:00:00,0.4233488531645414,0.14684917060346556,0.15643462538719177,1.3358423709869385,2.1702347701250937,0.0697386484644325,0.023087907344062717,0.06684027777777778,0.10102864583333333,1676.0,0.066815144766147,2,,,,,,,
2025-08-05 08:00:00,0.34186625367814555,0.15990072078880915,0.11767857521772385,1.6097661256790161,1.6384725505299451,0.052743357635022275,0.025211020464151166,0.050390624999999994,0.08205729166666667,1796.0,0.0,3,,,,,,,
2025-08-05 09:00:00,0.28885480472543335,0.14707254441457815,0.11586584895849228,1.6470996141433716,1.230255775360943,0.04256625867572498,0.025925522695512945,0.03574652777777778,0.0785295138888889,1797.0,0.0,2,,,,,,,
2025-08-05 10:00:00,0.29393422532708496,0.14024715066633203,0.1141258180141449,2.411402702331543,1.3278675283231236,0.04283163393464416,0.023419211707857115,0.03804253472222222,0.07386458333333336,1797.0,0.0,2,,,,,,,
2025-08-05 11:00:00,0.2516969133570409,0.13012859755954292,0.10353698581457138,1.1538859605789185,0.9720081243181272,0.03514087556776048,0.024054462098551475,0.028059895833333334,0.07165190972222223,1798.0,0.0,2,,,,,,,
2025-08-05 12:00:00,0.26427111962779626,0.1436042910340796,0.097921222448349,3.1845622062683105,1.0818857145859082,0.03757999487704918,0.021795785666554147,0.03525173611111111,0.06366319444444446,1525.0,0.0,2,,,,,,,
2025-08-05 13:00:00,0.43343741957533777,0.36480069121306447,0.1361687332391739,4.113742828369141,2.6778313163202783,0.061693802024214914,0.04219814922960679,0.05196397569444444,0.11218185763888888,1762.0,0.0,2,,,,,,,
2025-08-05 14:00:00,0.33249849624181366,0.13601958526352553,0.1361076682806015,0.997097373008728,1.4024050451947805,0.0494088792856922,0.022575837301272706,0.04724826388888889,0.0789904513888889,1797.0,0.0,2,,,,,,,
2025-08-05 15:00:00,0.37964303240918024,0.21931444781888318,0.13006864488124847,2.933396577835083,1.9056183356992822,0.05657148005162926,0.029329077600577524,0.05131076388888889,0.09082378472222222,1797.0,0.0,2,,,,,,,
2025-08-05 16:00:00,0.4096483843371015,0.11610927851254238,0.18271945416927338,1.0627628564834595,1.8901739826733759,0.06705755010279478,0.01741297789116135,0.06610243055555555,0.0894045138888889,1797.0,0.0,2,,,,,,,
