[scan] probing metadata for 22 folder(s) (ffprobe)...
  [222/1451] videos  (2.2/min, ETA ~547 min, records 328318)
  [223/1451] videos  (2.2/min, ETA ~549 min, records 329821)
  [224/1451] videos  (2.2/min, ETA ~551 min, records 331324)
  [225/1451] videos  (2.2/min, ETA ~567 min, records 332123)
  [226/1451] videos  (2.2/min, ETA ~565 min, records 332954)
  [227/1451] videos  (2.2/min, ETA ~562 min, records 333785)
  [228/1451] videos  (2.2/min, ETA ~560 min, records 334680)
  [229/1451] videos  (2.1/min, ETA ~574 min, records 335447)
  [230/1451] videos  (2.1/min, ETA ~571 min, records 336182)
  [231/1451] videos  (2.1/min, ETA ~569 min, records 336949)
  [232/1451] videos  (2.2/min, ETA ~567 min, records 337684)
  [233/1451] videos  (2.1/min, ETA ~584 min, records 338451)
  [234/1451] videos  (2.1/min, ETA ~585 min, records 339955)
  [235/1451] videos  (2.1/min, ETA ~582 min, records 341458)
  [236/1451] videos  (2.1/min, ETA ~580 min, records 342962)
  [237/1451] videos  (2.0/min, ETA ~594 min, records 343697)
  [238/1451] videos  (2.1/min, ETA ~591 min, records 344432)
  [239/1451] videos  (2.1/min, ETA ~588 min, records 345167)
  [240/1451] videos  (2.1/min, ETA ~587 min, records 346670)
  [241/1451] videos  (2.0/min, ETA ~599 min, records 347437)
  [242/1451] videos  (2.0/min, ETA ~596 min, records 348204)
  [243/1451] videos  (2.0/min, ETA ~594 min, records 349003)
  [244/1451] videos  (2.0/min, ETA ~593 min, records 349802)
  [245/1451] videos  (2.0/min, ETA ~605 min, records 350601)
  [246/1451] videos  (2.0/min, ETA ~602 min, records 351400)
  [247/1451] videos  (2.0/min, ETA ~599 min, records 352167)
  [248/1451] videos  (2.0/min, ETA ~598 min, records 352934)
  [249/1451] videos  (2.0/min, ETA ~611 min, records 353733)
  [250/1451] videos  (2.0/min, ETA ~608 min, records 354532)
  [251/1451] videos  (2.0/min, ETA ~605 min, records 355363)
  [252/1451] videos  (2.0/min, ETA ~604 min, records 356162)
  [253/1451] videos  (1.9/min, ETA ~615 min, records 356929)
  [254/1451] videos  (2.0/min, ETA ~613 min, records 357696)
  [255/1451] videos  (2.0/min, ETA ~610 min, records 358495)
  [256/1451] videos  (2.0/min, ETA ~609 min, records 359262)
  [257/1451] videos  (1.9/min, ETA ~620 min, records 359997)
  [258/1451] videos  (1.9/min, ETA ~617 min, records 360764)
  [259/1451] videos  (1.9/min, ETA ~615 min, records 361499)
  [260/1451] videos  (1.9/min, ETA ~623 min, records 363002)
  [261/1451] videos  (1.9/min, ETA ~629 min, records 364506)
  [262/1451] videos  (1.9/min, ETA ~626 min, records 366010)
  [263/1451] videos  (1.9/min, ETA ~625 min, records 367001)
  [264/1451] videos  (1.9/min, ETA ~629 min, records 367800)
  [265/1451] videos  (1.9/min, ETA ~633 min, records 368567)
  [266/1451] videos  (1.9/min, ETA ~631 min, records 369366)
  [267/1451] videos  (1.9/min, ETA ~630 min, records 370197)
  [268/1451] videos  (1.9/min, ETA ~633 min, records 370964)
  [269/1451] videos  (1.9/min, ETA ~637 min, records 371763)
  [270/1451] videos  (1.9/min, ETA ~635 min, records 372562)
  [271/1451] videos  (1.9/min, ETA ~634 min, records 373329)
  [272/1451] videos  (1.9/min, ETA ~633 min, records 373528)
  [273/1451] videos  (1.9/min, ETA ~633 min, records 374327)
  [274/1451] videos  (1.8/min, ETA ~636 min, records 375126)
  [275/1451] videos  (1.8/min, ETA ~638 min, records 376630)
  [276/1451] videos  (1.8/min, ETA ~639 min, records 378133)
  [277/1451] videos  (1.8/min, ETA ~638 min, records 379636)
  [278/1451] videos  (1.8/min, ETA ~635 min, records 381139)
  [279/1451] videos  (1.8/min, ETA ~636 min, records 382642)
  [280/1451] videos  (1.8/min, ETA ~638 min, records 384145)
  [281/1451] videos  (1.8/min, ETA ~636 min, records 385648)
  [282/1451] videos  (1.8/min, ETA ~634 min, records 387151)
